Genes	Diseases	Mutations	Chemicals	Species	PMID
	irritable bowel syndrome>MESH:D043183,Irritable bowel syndrome>MESH:D043183,IBS>MESH:D043183		bile acid>MESH:D001647	patients>9606	28128666
				people>9606,Participants>9606,participants>9606	28128043
	cognitive science>MESH:D003072,HIT>MESH:D013921			human>9606	28126605
				men>9606,women>9606	28123954
	stroke>MESH:D020521,atrial fibrillation>MESH:D001281,AF>MESH:D001281,hypertension>MESH:D006973,diabetes>MESH:D003920,Atrial Fibrillation>MESH:D001281,Diabetes>MESH:D003920			Participants>9606,participants>9606	28123758
				Patient>9606,patients>9606,patient>9606,participant>9606	28122843
BCL2>596,MLL>4297,AF4>4299,SRC>6714	lymphoblastic leukemia>MESH:D054198,leukemia>MESH:D007938,acute lymphoblastic leukemia>MESH:D054198,T-cell ALLs (T-ALLs)>MESH:C536496		dexamethasone>MESH:D003907,vincristine>MESH:D014750,dasatinib>MESH:C488369	Patient>9606,patient>9606,patients>9606	28122742
	Chronic Kidney Disease>MESH:D051436,chronic kidney disease>MESH:D051436			Patient>9606,People>9606,patient>9606,people>9606	28121226
	gastric cancer>MESH:D013274,Gastric cancer>MESH:D013274,cancers>MESH:D009369,cancer>MESH:D009369,tumor>MESH:D009369,gastric cancers>MESH:D013274,carcinomas>MESH:D002277			Epstein-Barr virus>10376	28118758
				patient>9606	28116861
Raf>22882,EGFR>1956,KRAS>3845	Cancers>MESH:D009369,cancer>MESH:D009369,cancer death>MESH:D003643,lung cancer>MESH:D008175,lung cancers>MESH:D008175,lung cancer tumors>MESH:D008175,adenocarcinomas>MESH:D000230,squamous cell carcinomas>MESH:D002294,tumors>MESH:D009369,tumor>MESH:D009369,lung adenocarcinoma>MESH:C538231,cancers>MESH:D009369		tyrosine>No Data	patients>9606,Participants>9606,women>9606,men>9606	28114446
epidermal growth factor receptor>1956,EGFR>1956			macrolide>MESH:D018942	human>9606,Mycoplasma genitalium>2097,M. genitalium>2097	28114309
				patient>9606,patients>9606	28109071
				patient>9606	28107231
				Patient>9606	28103131
	enormous damage>MESH:D009422			people>9606	28101876
	Cirrhosis>MESH:D005355,cirrhosis>MESH:D005355			Patients>9606,patients>9606	28101791
				participants>9606	28099953
	cardiovascular disease>MESH:D002318,cancer>MESH:D009369,diabetes>MESH:D003920			patient>9606	28094908
				people>9606	28094558
VHL>7428,vascular endothelial growth factor>7422,VEGF>7422,SSTR1>6751,BAX>581,caspase-3>836	von Hippel-Lindau-associated hemangioblastomas>MESH:D006623,Von Hippel-Lindau (VHL)-associated hemangioblastomas>MESH:D006623,VHL-HB>MESH:D006623,VHL disease>MESH:D006623,tumor>MESH:D009369,VHL-HB avidity>MESH:D006623,hemangioblastoma>MESH:D018325,tumor cytopenia>MESH:D009369,tumor infarction>MESH:D007238,tumors>MESH:D009369		Somatostatin>MESH:D013004,somatostatin>MESH:D013004,octreotide>MESH:D015282,68Ga-DOTA>MESH:C587879	patients>9606,patient>9606	28094316
			TPP>MESH:D013835	participant>9606	28090649
	upper gastrointestinal endoscopies>MESH:D005767,gastrointestinal stromal tumor>MESH:D046152,MALT lymphoma>MESH:D018442,autoimmune gastritis>MESH:D005756,concomitant pancreatic metaplasia>MESH:D008679,neuroendocrine dysplasia>MESH:D018358,dysplasia>MESH:D015792,gastritis>MESH:D005756,gastric glandular siderosis>MESH:D012806,fundic polyps>MESH:D011127,hyperplastic polyp>MESH:D011127,leiomyoma>MESH:D007889		iron>MESH:D007501	Helicobacter pylori>210,patients>9606,patient>9606	28089436
	prostate cancer>MESH:D011471,Prostate tumours>MESH:D011471,prostate tumours>MESH:D011471,tumours>MESH:D009369,aggressive localized prostate cancer>MESH:D011471				28068672
			alcohol>MESH:D000431	hepatitis C virus>11103,HCV>11103,patient>9606	28068154
				patient>9606	28068138
Focal Adhesion Kinase>5747,TP53>7157,beta-catenin>1499,p53>7157,focal adhesion kinase>5747,FAK>5747	Hepatocellular Carcinoma>MESH:D006528,Hepatocellular carcinoma>MESH:D006528,cancer>MESH:D009369,death>MESH:D003643,tumours>MESH:D009369,tumour>MESH:D009369		tyrosine>No Data	human>9606	28067792
	obesity>MESH:D009765,weight gain>MESH:D015430			child>9606,women>9606,children>9606,infant>9606	28065195
CA125>94025,KRAS>3845,NRAS>4893,PIK3CA, 2 PTEN, 1 BRAF, 1 AKT, 1>5290,TP53>7157,CTNNB1>1499,MEK>5609	type I epithelial ovarian cancer>MESH:D010051,Type I Epithelial Ovarian Cancers>MESH:D010051,tumor>MESH:D009369,Illumina MiSeq TruSeq Amplicon Cancer>MESH:D009369,Cancer>MESH:D009369,LGS>MESH:D015826,SD>MESH:D029461,PD>MESH:D010300		Formalin>MESH:D005557	patients>9606	28062115
ACR>49				patient>9606,patients>9606	28061965
	breast cancer>MESH:D001943,MBC>MESH:D001943,tumor>MESH:D009369		estrogen>MESH:D004967	patients>9606,PATIENTS>9606,Patients>9606,human>9606	28061482
	breast cancer>MESH:D001943,tumors>MESH:D009369,occult lesion>MESH:D005596				28058560
	Non-Small-cell Lung Cancer>MESH:D002289,lung cancers>MESH:D008175,tumors>MESH:D009369,tumor>MESH:D009369,lung cancer>MESH:D008175,genomic>MESH:D042822			Patients>9606,PATIENTS>9606,patients>9606,patient>9606	28057436
	cancer>MESH:D009369,tumor>MESH:D009369		deoxyribonucleic acid>MESH:D000596		28057186
IDH1>3417,epidermal growth factor receptor>1956,BRAF>673,KRAS>3845,p53>7157,raf>22882,mek>5609,Akt>207,mtor>2475,ret>5979,erbb2>2064,her2>2064,erbb3>2065	gastrointestinal carcinomas>MESH:D005770,Gastrointestinal carcinomas>MESH:D005770,cancers>MESH:D009369,gastrointestinal carcinoma>MESH:D005770,carcinoma>MESH:D002277,colorectal cancer>MESH:D015179,appendiceal adenocarcinoma>MESH:D001063,cholangiocarcinoma>MESH:D018281,malignancy>MESH:D009369,colonic adenocarcinoma>MESH:D015179,adenocarcinoma>MESH:D000230			patients>9606	28050146
	SMS>MESH:D058496			patients>9606,patient>9606,human>9606	28050069
	obesity>MESH:D009765,obesity and type 2 diabetes>MESH:D009765				28049454
CYP2C9>1559,CYP2C19>1557,CYP2D6>1565,CYP3A5>1577,VKORC1>79001	toxicity>MESH:D064420			patient>9606,patients>9606	28046094
BRCA1/2>672;675,BRCA1>672	Epithelial Ovarian Cancer>MESH:D010051,epithelial ovarian cancer>MESH:D010051			Women>9606,women>9606	28045615
	tuberculosis>MESH:D014376,drug-resistant tuberculosis>MESH:D018088,immunodeficiency virus-infected>MESH:D015658			human>9606,patients>9606,Mycobacterium tuberculosis>1773,clinical samples>88229,patient>9606,M. tuberculosis>1773	28043592
	tuberculosis>MESH:D014376,infection>MESH:D007239		isoniazid>MESH:D007538,rifampicin>MESH:D012293,polyacrylamide>MESH:C040388,ammonium bicarbonate>MESH:C027043	Mycobacterium tuberculosis>1773,rabbits>9986	28043508
				patient>9606,person>9606	28042697
	arthroplasty failures>MESH:D017093,infection>MESH:D007239		polyethylene>MESH:D020959	PATIENTS>9606,men>9606,women>9606,patients>9606	28042111
	Mendelian diseases>MESH:D030342			patients>9606,patient>9606	28039284
Epidermal Growth Factor Receptor>1956,EGFR>1956	Lung Cancer>MESH:D008175,non-small-cell lung cancer>MESH:D002289,VA Central Cancer>MESH:D009369		Erlotinib>MESH:C400278,erlotinib>MESH:C400278	PATIENTS>9606,patient>9606,patients>9606	28038980
FGFR2>2263,FGFR4>2264,KDR>3791	Cholangiocarcinoma>MESH:D018281,tumors>MESH:D009369,tumor>MESH:D009369		tyrosine>No Data	patient>9606	30761385
PTEN>5728,PIK3CA>5290,ERBB2>2064	tumors>MESH:D009369,tumor>MESH:D009369			patients>9606,patient>9606	30320296
	Cancer>MESH:D009369,cancer>MESH:D009369,cancers>MESH:D009369,colorectal cancers>MESH:D015179,endometrioid cancers>MESH:D009369,UEC tumors>MESH:D009369,MSS MSIsensor status>MESH:D013132,MSI-H tumors>MESH:D009369			patients>9606	30211344
	tumor boards>MESH:D009369,multidisciplinary molecular tumor>MESH:D009369,tumor>MESH:D009369,Cancer>MESH:D009369			patients>9606	30003184
	AIDS>MESH:D000163				29628992
Th1>51497			Tc>MESH:D013667	outpatient>9606,patients>9606	28035210
				patient>9606	28032823
TP53>7157,AKT2>208,FGFR3>2261,FGF10>2255,SDHA>6389,AKT>207,mTOR>2475,PIK3CA>5290	gallbladder sarcomatoid carcinoma>MESH:D002292,cancer>MESH:D009369,sarcomatoid carcinoma>MESH:D002292,tumor>MESH:D009369		Fluorouracil>MESH:D005472,Doxorubicin>MESH:D004317,Cisplatin>MESH:D002945,GDC-0941>MESH:C532162,PF-04691502>MESH:C570662	patient>9606,patients>9606	28029662
PDGFRA>5156,PDGFRB>5159,FGFR1>2260,PCM1>5108,JAK2>3717,PDGFRA->5156,FLT3>2322,ABL1>25,ETV6>2120	Myeloid neoplasms>MESH:D007951,eosinophilia>MESH:D004802,myeloid neoplasms>MESH:D007951,lymphoid neoplasms>MESH:D008223,myeloproliferative neoplasms>MESH:D009196,myelodysplastic syndrome>MESH:D009190,leukemias>MESH:D007938,lymphomas>MESH:D008223,Eosinophilia>MESH:D004802,neoplasms>MESH:D009369,eosinophilic leukemia>MESH:D017681,hypereosinophilia>MESH:D004802,eosinophilia-associated neoplasms>MESH:D004802		tyrosine>No Data,imatinib>MESH:C097613	patients>9606	28028030
Human Epidermal Growth Factor Receptor 2>2064,ERBB2>2064,epidermal growth factor receptor 2>2064,HER2>2064	Solid Tumor>MESH:D009369,gastric carcinomas>MESH:D013274,advanced disease>MESH:D020178,molecular>MESH:D030342,tumors>MESH:D009369,low tumor>MESH:D009800		formalin>MESH:D005557,paraffin>MESH:D010232	human>9606,patients>9606	28027945
TP53>7157,PIK3CA>5290,GATA3>2625,ESR1>2099,MAP3K1>4214,CDH1>999,AKT1>207,MAP2K4>6416,RB1>5925,PTEN>5728,CBFB>865,CDKN2A>1029,FSIP2>401024,FRAS1>80144,OSBPL3>26031,EDC4>23644,PALB2>79728,IGFN1>91156,AGRN>375790,HER2>2064,mechanistic target of rapamycin>2475,mTOR>2475,TSC1>7248,TSC2>7249,ERBB4>2066,NOTCH3>4854,ALK>238	Breast Cancers>MESH:D001943,breast cancer>MESH:D001943,Metastatic breast cancer>MESH:D001943,tumor>MESH:D009369,breast tumors>MESH:D061325,tumors>MESH:D009369,bone metastases>MESH:D009362			patients>9606	28027327
TP53>7157,succinate dehydrogenase>6390,KIT>3815,platelet-derived growth factor receptor A>5156,PDGFRA>5156	SDH-Deficient Gastrointestinal Stromal Tumor>MESH:D046152,SDH)-deficient gastrointestinal stromal tumor>MESH:D046152,SDH-deficient>No Data,tumor>MESH:D009369,tumors>MESH:D009369,SDH-deficient GIST>MESH:D046152		Imatinib>MESH:C097613,tyrosine>No Data,imatinib>MESH:C097613	Patients>9606,patients>9606,patient>9606	28027118
	Hemophilia>MESH:D006467,Care Sustainability Collaborative>MESH:D009120,rare disorder>MESH:D035583,hemophilia>MESH:D006467,bleeding disorders>MESH:D006470,Hemophilia Foundation>MESH:D006467			patient>9606	28025929
				patient>9606	28025921
Androgen Receptor>367,androgen receptor>367,AR>367	prostate cancer>MESH:D011471,ABS>MESH:D054549		androgen>MESH:D000728,enzalutamide>MESH:C540278	Human>9606,human>9606,patients>9606	28024400
	squamous NSCLC>MESH:D002294,Lung cancer>MESH:D008175,cancer diseases>MESH:D009369,tumours>MESH:D009369,NSCLC>MESH:D002289,lung cancer>MESH:D008175,non-squamous NSCLC>MESH:D002294		docetaxel>MESH:C067311	patients>9606	28010896
	synchronous multifocal tumors>No Data,Synchronous multifocal tumors>No Data,cancer>MESH:D009369,hepatocellular carcinoma>MESH:D006528,pancreatic carcinoma>MESH:C562463,cholangiocarcinoma>MESH:D018281,tumor>MESH:D009369,pancreatic cancer branch>MESH:D010190,synchronous pancreatic cancer>MESH:D010190			patient>9606	28008139
				participants>9606	28008009
	Advanced Lung Cancer>MESH:D008175,tumor>MESH:D009369,cancer>MESH:D009369,NSCLC>MESH:D002289,genetic abnormalities>MESH:D030342,advanced lung cancer>MESH:D008175			patients>9606	28007624
				churchill>868862	28007037
ERBB2>2064,BRAF>673,KRAS>3845,NRAS>4893	colorectal cancer>MESH:D015179,cancer>MESH:D009369,tumor>MESH:D009369,hypermutated tumors>MESH:D009369		CGS>MESH:D017316	patients>9606	28007036
	cancer>MESH:D009369,hematologic disease>MESH:D006402,hematologic disorders>MESH:D006402,tumor>MESH:D009369,multi-disciplinary molecular tumor board>MESH:C564969			patient>9606,patients>9606	28007021
CRG>55636	NGS>No Data			patients>9606	28003584
MYD88>4615,CDKN2A>1029,PTEN>5728	vitreoretinal lymphomas>MESH:C536075,Vitreoretinal lymphoma>MESH:C536075,lymphoma of the eye>MESH:D008223,primary CNS lymphoma>MESH:D020293,B cell lymphoma>MESH:D016393,vision loss>MESH:D014786,tumor>MESH:D009369,Cancer>MESH:D009369,lymphoma>MESH:D008223,lymphomas>MESH:D008223,cancers>MESH:D009369,tumoral>MESH:D009369,cancer>MESH:D009369,ocular adnexal diseases>MESH:D000291			patients>9606	28002793
FGFR3>14184,FGFR3>2261,KRAS>3845	lung adenocarcinoma>MESH:C538231,cancer>MESH:D009369,primary lung adenocarcinoma tumors>MESH:C538231,lung adenocarcinoma tumors>MESH:C538231,tumor>MESH:D009369,SCID>MESH:D053632,tumors>MESH:D009369,lung cancer>MESH:D008175			mouse>10090,patients>9606,mice>10090	27998968
	patellofemoral arthroplasties>MESH:D046788			PACU>42528,Patients>9606,patients>9606,patient>9606	27998659
ALK>238	Neuroblastoma>MESH:D009447,neuroblastoma>MESH:D009447,cancer>MESH:D009369,neuroblastoma tumor>MESH:D009447,tumor>MESH:D009369,tumors>MESH:D009369,neuroblastomas>MESH:D009447			patients>9606,Patients>9606,patient>9606	27997549
	birth>MESH:D000014,British birth>MESH:C538208				27995394
				patient>9606	27993174
	cancer>MESH:D009369,cardiovascular disorders>MESH:D002318			patients>9606	27987355
				patients>9606,patient>9606	27984323
	chronic kidney disease>MESH:D051436,hypertension>MESH:D006973,diabetes>MESH:D003920			patients>9606,patient>9606	27982668
	HIV infection>MESH:D015658,infections of HIV>MESH:D015658,AIDS>MESH:D000163			patient>9606,patients>9606	27982665
				Akkermansia muciniphila>239935,human>9606,human microbiome>646099	27980489
	depression symptoms>MESH:D003866,post-traumatic stress disorder symptoms>MESH:D051271,trauma>MESH:D014947		NMA>MESH:C512766	children>9606,participant>9606,people>9606,PARTICIPANTS>9606,child>9606	27977089
FGFR1>2260,NTRK3>4916,KIT>3815,PDGFRA>5156,KRAS>3845,BRAF>673,NF1>4763,ARID1B>57492,ATR>545,LTK>4058,SUFU>51684,PARK2>5071,ZNF217>7764,HOOK3>84376,TACC1>6867,ETV6>2120,TRK>4914	Wild-Type" gastrointestinal stromal tumors>MESH:D046152,gastrointestinal stromal tumors>MESH:D046152,tumors>MESH:D009369,metastases>MESH:D009362,tumor>MESH:D009369		CGP>MESH:C428863	patients>9606,patient>9606	27974047
	cancer>MESH:D009369,cancers>MESH:D009369			participants>9606	27940972
	psychosocial impacts>MESH:C535569			patients>9606,women>9606,outpatient>9606,human>9606	27940182
				people>9606	27940050
	chronic kidney disease>MESH:D051436,hypertension>MESH:D006973,atrial fibrillation>MESH:D001281		MET>MESH:C098756	patient>9606,patients>9606	27939413
	cardiac rehabilitation>MESH:D006331,psychosocial rehabilitation>MESH:C535569			participants>9606,patient>9606,patients>9606	27938405
	neurodevelopmental disorders>MESH:D002658,SL>MESH:C564794			patients>9606	27931090
ERBB2>2064,HER2>2064,FGFR4>2264,FLT1>2321,AURKA>6790,ESR1>2099	Breast Cancer Brain Metastases>MESH:D001943,breast cancer (BrCa) brain metastases>MESH:D001943,tumors>MESH:D009369,primary breast cancer>MESH:D001943,breast cancer>MESH:D001943,BrCa tumors>MESH:D009369,metastases>MESH:D009362,Breast cancer>MESH:D001943		estrogen>MESH:D004967	Patients>9606,Participants>9606,patient>9606,patients>9606	27926948
	Diabetes>MESH:D003920,diabetes>MESH:D003920			human>9606	27926887
	Complex Disease>MESH:D007105,chronic disease>MESH:D002908			patients>9606,Participants>9606,person>9606,participant>9606	27921197
	Cancer>MESH:D009369			patient>9606	27918649
	ESRD>MESH:D007676			patients>9606	27914968
	cancer>MESH:D009369,fibrosarcoma mouse tumors>MESH:D005354,Sarcoma xenograft tumor>MESH:D012509,tumors>MESH:D009369			patients>9606,mice>10090	27908167
FLT3>2322,FLT>2321,Fms-like tyrosine kinase 3>2322,mTOR>2475	solid tumors>MESH:D009369,cancers>MESH:D009369,tumor>MESH:D009369,colon cancer>MESH:D015179		regorafenib>MESH:C559147,sorafenib>MESH:C471405	patients>9606,patient>9606	27906677
	cancer>MESH:D009369,tumors>MESH:D009369,Cancer>MESH:D009369,tumor>MESH:D009369,multidisciplinary molecular tumor>MESH:D009369			patients>9606,euro>9319,patient>9606	27906201
	tumor>MESH:D009369,cancers>MESH:D009369,lung cancer>MESH:D008175,cancer>MESH:D009369			patients>9606	27903834
HER2>2064,Erb-b2 receptor tyrosine kinase 2>2064,EGFR>1956,HER3>2065,HER4>2066	TMD>MESH:D049310,Lung Adenocarcinoma>MESH:C538231,lung adenocarcinomas>MESH:C538231,lung adenocarcinoma>MESH:C538231,NSCLC malignancies>MESH:D009369		Afatinib>MESH:C522924,tyrosine>No Data,glutamic acid>MESH:C030030,aspartic acid>MESH:C403564,arginine>MESH:D001127,afatinib>MESH:C522924	patients>9606	27903463
HER2>2064,BRCA1>672,BRCA2>675,ERBB2>2064	breast cancer>MESH:D001943,tumor>MESH:D009369,tumors>MESH:D009369			patients>9606	27901097
PDL1>29126,TP53>7157,JAK2>3717,GATA3>2625	cancer>MESH:D009369,sarcoma>MESH:D012509,adenocarcinoma>MESH:D000230,breast cancer>MESH:D001943,multidimensional tumor>MESH:D009369,cancers>MESH:D009369		ICI>MESH:C481040	patients>9606	27900363
KRAS>3845,epidermal growth factor receptor>1956,EGFR>1956,AKT>207	Colorectal Cancer>MESH:D015179,colorectal cancer>MESH:D015179			patients>9606	27899776
	cancellation of inappropriate orders>MESH:D007177			outpatient>9606	27897445
	solid tumors>MESH:D009369,tumor>MESH:D009369,pediatric tumors>MESH:D063766,tumor board>MESH:D009369,tumors>MESH:D009369,gliomas>MESH:D005910,sarcomas>MESH:D012509,neuroblastomas>MESH:D009447			children>9606,patients>9606,Patients>9606	27896933
				patients>9606	27893261
	Legionella>MESH:D007877,Legionella risks on board NPMVs>MESH:D007877			Escherichia coli>562,Legionella pneumophila serogroup 1>66976,human>9606	27890040
ERCC1>2067,RRM1>6240,TYMS>7298,TUBB3>10381,MGMT>4255,TOP2A>7153	cancer>MESH:D009369,tumor>MESH:D009369		Capecitabine>MESH:C110904,TOP1-irinotecan>MESH:C051890	patients>9606,patient>9606	27888622
	WGS>No Data			children>9606,child>9606,patients>9606	27888232
SMO>6608,AKT1>207	meningiomas>MESH:D008579,Meningiomas>MESH:D008579,tumors>MESH:D009369,tumor>MESH:D009369			patients>9606	27885953
IL11RA>3590,EFNB1>1947,TWIST1>7291,CDC45>8318,MSX2>4488,ZIC1>7545,FBN1>2200,HUWE1>10075,KRAS>3845,STAT3>6774,AHDC1>27245,NTRK2>4915	craniosynostosis>MESH:D003398,Craniosynostosis>MESH:D003398,craniosynostosis genes>MESH:D058495			patients>9606	27884935
	cognitive errors>MESH:D003072,cognitive error>MESH:D003072			patient>9606	27884632
	cancer>MESH:D009369		ONCO-CODES>MESH:C097921	patients>9606,person>9606,patient>9606	27884165
epidermal growth factor receptor>1956,PIK3CA>5290	cancer>MESH:D009369,tumour>MESH:D009369		formalin>MESH:D005557,tyrosine>No Data	HPV>10566,human papillomavirus>10566,PARTICIPANTS>9606	27882657
AXL>558,EGFR>1956	tumor>MESH:D009369,cancer>MESH:D009369,cancers>MESH:D009369		5R33CA155554>MESH:C038900	patient>9606,patients>9606	27882345
SAGE>55511	breast and cervical cancer>MESH:D001943,cancer>MESH:D009369,breast cancer>MESH:D001943,low parental SES>MESH:D063129			women>9606,PARTICIPANTS>9606,to 7>1214577,Women>9606	27881528
	system>MESH:D019578				27880777
	LID>MESH:D004409		Fortune magazine>No Data	human>9606	27878643
BRCA>672,BRCA1/2>672;675,CHEK2>11200,PALB2>79728,CDH1>999,BARD1>580,MRE11A>4361	cancer>MESH:D009369,APC>MESH:D011125			patients>9606,Patients>9606,patient>9606	27878467
TYK2>7297,neurofibromatosis type 1>4763,NF1>4763,ROS proto-oncogene 1>6098,ROS1>6098,p53>7157,TP53>7157,tyrosine kinase 2>7297	sheath tumors>MESH:D018317,nerve sheath tumors>MESH:D018317,aggressive sarcomas>MESH:D001523,tumor>MESH:D009369,tumors>MESH:D009369,cancers>MESH:D009369,melanoma>MESH:D008545,malignancies>MESH:D009369		Malignant>MESH:C453740	patients>9606,women>9606,men>9606	27875628
KRAS>24525,SMAD>4089;4089;50554,SMAD4>50554,NTRK1>59109,SMAD4>4089,lysine methyltransferase 2D>8085,KMT2D>8085	ovarian metastases>MESH:D010049,colorectal cancer>MESH:D015179,metastases>MESH:D009362,tumor>MESH:D009369,Sarcoma>MESH:D012509		tyrosine>No Data	Women>9606,Rat>10116,patients>9606,Patients>9606	27875625
	cancer>MESH:D009369,toxicity>MESH:D064420,tumor>MESH:D009369,NGS>No Data			patients>9606	27871777
	multidisciplinary genomic tumor>MESH:D042822,breast cancer>MESH:D001943,advanced disease>MESH:D020178,multidisciplinary genomic tumor boards>MESH:D042822,cancer>MESH:D009369,Breast Multidisciplinary Genomic Tumor>MESH:D061325			patients>9606,patient>9606,participant>9606,participants>9606	27871291
	cognitive disabilities>MESH:D003072			people>9606,women>9606,persons>9606	27870795
	Non-Small-Cell Lung Cancer>MESH:D002289,cough>MESH:D003371,lymph node disease>MESH:D014388,lung lesion>MESH:D008171,lymphadenopathy>MESH:D008206,metastases>MESH:D009362,adenocarcinoma>MESH:D000230,carcinoma>MESH:D002277,hyperlipidemia and hypothyroidism>MESH:D007037,lung cancer>MESH:D008175,cancer>MESH:D009369			patients>9606,man>9606,tobacco>4097,patient>9606	27870565
EGFR>1956,ALK>238,Ret>5979,RET>5979,erb-b2 receptor tyrosine kinase 2>2064,ERBB2>2064	lung adenocarcinoma>MESH:C538231,lymphoma>MESH:D008223,advanced lung cancer>MESH:D008175,adenocarcinoma>MESH:D000230,tumor>MESH:D009369		tyrosine>No Data	patients>9606	27865871
KRAS>3845,CDKN2A>1029,TP53>7157,SMAD4>4089	Pancreatic Cancer>MESH:D010190,pancreatic ductal adenocarcinoma>MESH:D021441,pancreatic carcinogenesis>MESH:D063646,pancreas cancer>MESH:D010190				27865273
	tumor>MESH:D009369,embryonal carcinoma>MESH:D018236,yolk sac tumor>MESH:D018240,teratoma>MESH:D013724,seminoma>MESH:D018239,cancer>MESH:D009369			patients>9606,Patients>9606,patient>9606	27861143
	disabilities>MESH:D009069,implementation sciences>No Data			Children>9606,children>9606,participants>9606	27854397
	genetic disorders>MESH:D030342			patient>9606	27854360
PIK3CA>5290,BRCA2>675,ERBB2>2064,CCND1>595	malignant solid tumors>MESH:D009369,NGS>No Data,breast cancer>MESH:D001943			patients>9606,patient>9606	27852271
				human>9606,Participants>9606	27846345
EZH2>2146	Intraocular Medulloepithelioma>MESH:D018242,Intraocular medulloepithelioma>MESH:D018242,neuroepithelial tumor>MESH:D018302,blindness>MESH:D001766,tumor>MESH:D009369,tumors>MESH:D009369,retinoblastoma>MESH:D012175,cancers>MESH:D009369		Hematoxylin>MESH:D006416,eosin>MESH:D004801,formalin>MESH:D005557,paraffin>MESH:D010232	children>9606	27842164
	hypothetical sunburn>MESH:D013471			apple>3750	27841003
	logical fallacies>MESH:C537032			honesty>153659	27834205
	cancer>MESH:D009369			participants>9606,persons>9606,to 9>1214577	27831900
EGFR>1956,VEGF>7422,FGFR2>2263,IDH1/2>3417;3418	biliary cancers>MESH:D001661,Biliary tract cancers>MESH:D001661,tumors>MESH:D009369,gallbladder cancers>MESH:D005706,cholangiocarcinomas>MESH:D018281,cancers>MESH:D009369,cancer>MESH:D009369,intrahepatic cholangiocarcinoma>MESH:C535533		cisplatin>MESH:D002945,gemcitabine>MESH:C056507	patients>9606	27829278
	Biliary carcinomas>MESH:D001661,mismatch repair deficiency>MESH:C536928,biliary carcinomas>MESH:D001661,tumors>MESH:D009369,biliary tumors>MESH:D001661,Lynch syndrome tumor>MESH:D003123,MMR) deficiency>MESH:C536928,MMR deficiency>MESH:C536928,gallbladder carcinoma>MESH:D005706,carcinoma>MESH:D002277,intrahepatic cholangiocarcinoma and ampullary carcinoma>MESH:C535533,Lynch syndrome>MESH:D003123,tumor>MESH:D009369,non-biliary tumors>MESH:D001661				27829276
	ovarian cancer>MESH:D010051,epithelial ovarian cancers>MESH:D010051,ovarian cancers>MESH:D010051,toxicity>MESH:D064420				27828713
RET>5979	lung cancer>MESH:D008175,non-small-cell lung cancers>MESH:D002289,lung cancers>MESH:D008175,lung adenocarcinomas>MESH:C538231,hypophosphataemia>No Data,tumour>MESH:D009369,Cancer>MESH:D009369		Cabozantinib>MESH:C558660,cabozantinib>MESH:C558660,alanine>MESH:D000409,aspartate>No Data	patients>9606,Patients>9606	27825636
	malaria>MESH:D008288,malaria morbidity>MESH:D008288,Webuye Health>OMIM:603663			human>9606,patients>9606	27825350
EGFR>1956,KRAS>3845,BRAF>673,PIK3CA>5290,HER2>2064,TP53>7157,p16>1029,IDH>3417	biliary tract cancer>MESH:D001661,Biliary tract cancers>MESH:D001661,extrahepatic cholangiocarcinoma>MESH:D018281,gallbladder and cystic duct cancers>MESH:D005706,malignancies>MESH:D009369,biliary tract cancers>MESH:D001661,review of biliary tract cancer>MESH:D001661,gallbladder cancers>MESH:D005706,tumor>MESH:D009369,intrahepatic cholangiocarcinoma>MESH:C535533				27823638
	infectious diseases>MESH:D003141			human>9606,pig>9823,humans>9606	27822556
	diabetes>MESH:D003920,type 2 diabetes>MESH:D003924,hypoglycemia>MESH:D007003,hyperglycemia>MESH:D006943		glucose>MESH:D005947	patients>9606	27818105
	cauda equina syndrome>MESH:D011128,epidural compression syndrome>MESH:D009408,neoplasms>MESH:D009369,compression fracture>MESH:D050815,anemia>MESH:D000740			patients>9606	27815809
	cancer>MESH:D009369,implementation of MVLD standards>MESH:D058490		AMP>MESH:D000249		27814769
	cancer>MESH:D009369,tumor>MESH:D009369			patient>9606	27813876
				Patient>9606,patient>9606,patients>9606,Patients>9606	27811598
	Implementation Science>No Data			patients>9606	27811544
ERBB2>2064,CDH1>999,E-cadherin>999,HER2>2064,PTEN>5728,MUC16>94025,FAT4>79633,PCDHGA2>56113,HERC1>8925,FLNC>2318,TP53>7157,PIK3CA>5290,MYC>4609	cancer>MESH:D009369,invasive lobular carcinoma>MESH:D018275,tumor>MESH:D009369,metastases>MESH:D009362,breast cancer driver abnormalities>MESH:D001943,breast cancer>MESH:D001943			patients>9606	27811364
	acute myeloid leukemia>MESH:D015470,AML>MESH:D015470,malignancy>MESH:D009369,cancers>MESH:D009369		cytarabine>MESH:D003561		27686867
IGF2>16002,IGF-1R>16001,insulin-like growth factor 2>16002	lung cancer>MESH:D008175,lung tumor>MESH:D008175		norepinephrine>MESH:D009638,catecholamines>MESH:D002395,calcium>MESH:D002118	mice>10090,Mice>10090	27651310
