FIPS,State,"County, State",2010 Food Insecurity Rate, Number of Food Insecure Persons in 2010 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2010 Child food insecurity rate, Number of Food Insecure Children in 2010  ,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL, 2010 Cost Per Meal , 2010 Weighted Annual Food Budget Shortfall ,
30101,MT,"Toole County, Montana",13.0%, 670 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",53.4%,N/A,46.6%,19.7%, 210 ,43%,57%, $2.85 ," $328,680 ",
30103,MT,"Treasure County, Montana",10.7%, 90 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",90.6%,N/A,9.4%,18.1%, 30 ,78%,22%, $2.44 ," $37,800 ",
30105,MT,"Valley County, Montana",12.0%, 880 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",64.0%,N/A,36.0%,18.0%, 300 ,59%,41%, $2.86 ," $433,220 ",
30107,MT,"Wheatland County, Montana",13.2%, 280 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",86.6%,N/A,13.4%,16.1%, 60 ,99%,1%, $2.51 ," $120,970 ",
30109,MT,"Wibaux County, Montana",11.5%, 120 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",63.4%,N/A,36.6%,18.5%, 40 ,60%,40%, $2.43 ," $50,190 ",
30111,MT,"Yellowstone County, Montana",12.2%," 17,590 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",59.2%,N/A,40.8%,17.8%," 5,990 ",53%,47%, $2.38 ," $7,206,070 ",
31001,NE,"Adams County, Nebraska",11.9%," 3,710 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.9%,23.8%,32.3%,20.2%," 1,510 ",66%,34%, $2.35 ," $1,500,710 ",
31003,NE,"Antelope County, Nebraska",10.8%, 730 ,130.0%,SNAP,185.0%,Other Nutrition Program,50.3%,27.1%,22.6%,18.9%, 300 ,74%,26%, $2.58 ," $324,190 ",
31005,NE,"Arthur County, Nebraska",12.7%, 50 ,130.0%,SNAP,185.0%,Other Nutrition Program,30.2%,41.8%,28.0%,18.2%, 20 ,71%,29%, $2.38 ," $20,480 ",
31007,NE,"Banner County, Nebraska",12.7%, 90 ,130.0%,SNAP,185.0%,Other Nutrition Program,59.0%,18.0%,22.9%,23.2%, 40 ,69%,31%, $2.39 ," $37,030 ",
31009,NE,"Blaine County, Nebraska",12.2%, 70 ,130.0%,SNAP,185.0%,Other Nutrition Program,39.9%,29.8%,30.3%,22.1%, 20 ,69%,31%, $2.37 ," $28,560 ",
31011,NE,"Boone County, Nebraska",9.5%, 520 ,130.0%,SNAP,185.0%,Other Nutrition Program,38.0%,26.9%,35.1%,14.0%, 180 ,63%,37%, $2.42 ," $216,610 ",
31013,NE,"Box Butte County, Nebraska",12.4%," 1,410 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.0%,17.9%,38.1%,24.3%, 700 ,63%,37%, $2.82 ," $684,420 ",
31015,NE,"Boyd County, Nebraska",10.3%, 220 ,130.0%,SNAP,185.0%,Other Nutrition Program,37.8%,38.1%,24.1%,18.7%, 80 ,74%,27%, $2.36 ," $89,370 ",
31017,NE,"Brown County, Nebraska",13.1%, 420 ,130.0%,SNAP,185.0%,Other Nutrition Program,60.1%,20.8%,19.1%,19.2%, 140 ,94%,6%, $2.33 ," $168,450 ",
31019,NE,"Buffalo County, Nebraska",11.2%," 5,110 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.7%,19.8%,36.5%,18.7%," 1,970 ",65%,35%, $2.46 ," $2,163,770 ",
31021,NE,"Burt County, Nebraska",11.8%, 830 ,130.0%,SNAP,185.0%,Other Nutrition Program,44.2%,17.4%,38.4%,17.3%, 270 ,69%,31%, $2.61 ," $372,880 ",
31023,NE,"Butler County, Nebraska",10.4%, 870 ,130.0%,SNAP,185.0%,Other Nutrition Program,34.3%,24.0%,41.7%,17.5%, 360 ,59%,41%, $2.64 ," $395,350 ",
31025,NE,"Cass County, Nebraska",10.4%," 2,620 ",130.0%,SNAP,185.0%,Other Nutrition Program,21.1%,23.9%,55.0%,16.5%," 1,050 ",49%,51%, $2.33 ," $1,050,780 ",
31027,NE,"Cedar County, Nebraska",10.6%, 940 ,130.0%,SNAP,185.0%,Other Nutrition Program,38.8%,26.9%,34.4%,16.8%, 390 ,64%,37%, $2.64 ," $427,160 ",
31029,NE,"Chase County, Nebraska",10.8%, 430 ,130.0%,SNAP,185.0%,Other Nutrition Program,46.3%,24.9%,28.8%,21.3%, 200 ,69%,31%, $2.54 ," $188,000 ",
31031,NE,"Cherry County, Nebraska",9.5%, 550 ,130.0%,SNAP,185.0%,Other Nutrition Program,35.6%,20.9%,43.6%,13.8%, 190 ,48%,52%, $2.38 ," $225,320 ",
31033,NE,"Cheyenne County, Nebraska",10.5%," 1,060 ",130.0%,SNAP,185.0%,Other Nutrition Program,32.5%,21.8%,45.7%,17.1%, 410 ,52%,48%, $2.41 ," $439,720 ",
31035,NE,"Clay County, Nebraska",10.6%, 700 ,130.0%,SNAP,185.0%,Other Nutrition Program,38.1%,27.7%,34.1%,17.5%, 290 ,57%,43%, $2.36 ," $284,360 ",
31037,NE,"Colfax County, Nebraska",9.2%, 930 ,130.0%,SNAP,185.0%,Other Nutrition Program,47.6%,38.3%,14.1%,18.4%, 510 ,65%,35%, $2.56 ," $409,810 ",
31039,NE,"Cuming County, Nebraska",10.9%," 1,010 ",130.0%,SNAP,185.0%,Other Nutrition Program,40.6%,19.7%,39.7%,19.7%, 460 ,53%,47%, $2.14 ," $372,040 ",
31041,NE,"Custer County, Nebraska",10.5%," 1,160 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.0%,30.4%,30.6%,16.9%, 440 ,75%,25%, $2.23 ," $445,260 ",
31043,NE,"Dakota County, Nebraska",13.5%," 2,790 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.7%,32.7%,25.6%,26.6%," 1,550 ",63%,38%, $2.33 ," $1,118,960 ",
31045,NE,"Dawes County, Nebraska",14.6%," 1,330 ",130.0%,SNAP,185.0%,Other Nutrition Program,46.4%,18.4%,35.2%,20.8%, 350 ,76%,24%, $2.41 ," $551,730 ",
31047,NE,"Dawson County, Nebraska",11.4%," 2,770 ",130.0%,SNAP,185.0%,Other Nutrition Program,49.2%,33.7%,17.1%,24.0%," 1,580 ",73%,27%, $2.34 ," $1,115,710 ",
31049,NE,"Deuel County, Nebraska",11.7%, 230 ,130.0%,SNAP,185.0%,Other Nutrition Program,55.6%,10.8%,33.6%,20.3%, 80 ,74%,26%, $2.38 ," $94,220 ",
31051,NE,"Dixon County, Nebraska",11.2%, 670 ,130.0%,SNAP,185.0%,Other Nutrition Program,44.8%,25.0%,30.2%,19.7%, 320 ,75%,25%, $2.36 ," $272,170 ",
31053,NE,"Dodge County, Nebraska",12.0%," 4,380 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.3%,22.4%,34.3%,21.7%," 1,850 ",65%,35%, $2.38 ," $1,794,350 ",
31055,NE,"Douglas County, Nebraska",13.2%," 66,690 ",130.0%,SNAP,185.0%,Other Nutrition Program,40.0%,14.7%,45.3%,19.0%," 24,490 ",62%,38%, $2.39 ," $27,435,590 ",
31057,NE,"Dundy County, Nebraska",10.7%, 210 ,130.0%,SNAP,185.0%,Other Nutrition Program,44.4%,26.9%,28.7%,19.6%, 80 ,75%,25%, $2.38 ," $86,030 ",
31059,NE,"Fillmore County, Nebraska",11.4%, 680 ,130.0%,SNAP,185.0%,Other Nutrition Program,39.1%,20.3%,40.6%,16.6%, 200 ,62%,39%, $2.57 ," $300,810 ",
31061,NE,"Franklin County, Nebraska",12.3%, 400 ,130.0%,SNAP,185.0%,Other Nutrition Program,42.8%,21.6%,35.7%,22.0%, 150 ,59%,41%, $2.36 ," $162,490 ",
31063,NE,"Frontier County, Nebraska",11.0%, 310 ,130.0%,SNAP,185.0%,Other Nutrition Program,53.6%,21.7%,24.8%,20.3%, 130 ,80%,20%, $2.37 ," $126,460 ",
31065,NE,"Furnas County, Nebraska",11.6%, 570 ,130.0%,SNAP,185.0%,Other Nutrition Program,52.9%,19.8%,27.3%,22.1%, 260 ,70%,30%, $2.37 ," $232,530 ",
31067,NE,"Gage County, Nebraska",12.5%," 2,820 ",130.0%,SNAP,185.0%,Other Nutrition Program,38.6%,19.1%,42.3%,20.9%," 1,090 ",59%,42%, $2.33 ," $1,130,990 ",
31069,NE,"Garden County, Nebraska",12.0%, 250 ,130.0%,SNAP,185.0%,Other Nutrition Program,50.3%,23.9%,25.8%,19.3%, 60 ,89%,11%, $2.37 ," $101,990 ",
31071,NE,"Garfield County, Nebraska",11.0%, 230 ,130.0%,SNAP,185.0%,Other Nutrition Program,47.9%,15.2%,36.9%,20.7%, 100 ,62%,39%, $2.36 ," $93,430 ",
31073,NE,"Gosper County, Nebraska",11.0%, 230 ,130.0%,SNAP,185.0%,Other Nutrition Program,37.3%,37.2%,25.5%,17.9%, 80 ,77%,23%, $2.37 ," $93,830 ",
31075,NE,"Grant County, Nebraska",12.7%, 80 ,130.0%,SNAP,185.0%,Other Nutrition Program,54.0%,23.8%,22.2%,23.5%, 30 ,79%,21%, $2.38 ," $32,770 ",
31077,NE,"Greeley County, Nebraska",11.1%, 280 ,130.0%,SNAP,185.0%,Other Nutrition Program,46.4%,25.3%,28.4%,18.9%, 120 ,80%,20%, $2.36 ," $113,740 ",
31079,NE,"Hall County, Nebraska",10.6%," 6,000 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.2%,31.2%,21.6%,20.0%," 3,010 ",75%,25%, $2.27 ," $2,344,410 ",
31081,NE,"Hamilton County, Nebraska",9.9%, 910 ,130.0%,SNAP,185.0%,Other Nutrition Program,37.2%,22.0%,40.8%,17.8%, 430 ,60%,41%, $2.49 ," $390,030 ",
31083,NE,"Harlan County, Nebraska",10.4%, 360 ,130.0%,SNAP,185.0%,Other Nutrition Program,43.0%,14.3%,42.7%,18.2%, 130 ,54%,46%, $2.36 ," $146,240 ",
31085,NE,"Hayes County, Nebraska",10.9%, 110 ,130.0%,SNAP,185.0%,Other Nutrition Program,33.7%,27.6%,38.7%,18.6%, 40 ,60%,40%, $2.37 ," $44,870 ",
31087,NE,"Hitchcock County, Nebraska",12.2%, 360 ,130.0%,SNAP,185.0%,Other Nutrition Program,47.9%,29.8%,22.3%,22.2%, 140 ,84%,16%, $2.37 ," $146,860 ",
31089,NE,"Holt County, Nebraska",9.8%," 1,020 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.2%,30.7%,28.1%,16.3%, 410 ,74%,27%, $2.14 ," $375,720 ",
31091,NE,"Hooker County, Nebraska",11.0%, 80 ,130.0%,SNAP,185.0%,Other Nutrition Program,31.1%,64.9%,4.0%,18.5%, 30 ,100%,0%, $2.37 ," $32,640 ",
31093,NE,"Howard County, Nebraska",10.8%, 680 ,130.0%,SNAP,185.0%,Other Nutrition Program,36.6%,30.5%,32.9%,18.0%, 280 ,64%,36%, $2.51 ," $293,790 ",
31095,NE,"Jefferson County, Nebraska",11.9%, 910 ,130.0%,SNAP,185.0%,Other Nutrition Program,38.3%,21.8%,39.9%,21.6%, 350 ,57%,43%, $2.36 ," $369,670 ",
31097,NE,"Johnson County, Nebraska",12.4%, 640 ,130.0%,SNAP,185.0%,Other Nutrition Program,34.3%,17.6%,48.2%,20.2%, 170 ,62%,38%, $2.59 ," $285,320 ",
31099,NE,"Kearney County, Nebraska",10.1%, 660 ,130.0%,SNAP,185.0%,Other Nutrition Program,31.1%,28.3%,40.6%,17.8%, 280 ,67%,33%, $2.60 ," $295,370 ",
31101,NE,"Keith County, Nebraska",10.5%, 880 ,130.0%,SNAP,185.0%,Other Nutrition Program,40.0%,24.1%,35.9%,17.2%, 300 ,66%,34%, $2.62 ," $396,860 ",
31103,NE,"Keya Paha County, Nebraska",14.8%, 110 ,130.0%,SNAP,185.0%,Other Nutrition Program,51.3%,21.2%,27.6%,29.4%, 40 ,87%,13%, $2.37 ," $44,870 ",
31105,NE,"Kimball County, Nebraska",11.5%, 440 ,130.0%,SNAP,185.0%,Other Nutrition Program,45.0%,20.4%,34.7%,19.7%, 170 ,76%,24%, $2.48 ," $187,830 ",
31107,NE,"Knox County, Nebraska",11.9%," 1,050 ",130.0%,SNAP,185.0%,Other Nutrition Program,46.7%,27.0%,26.3%,20.0%, 410 ,78%,22%, $2.60 ," $469,910 ",
31109,NE,"Lancaster County, Nebraska",12.0%," 33,480 ",130.0%,SNAP,185.0%,Other Nutrition Program,40.4%,12.5%,47.1%,18.9%," 11,890 ",54%,46%, $2.45 ," $14,119,110 ",
31111,NE,"Lincoln County, Nebraska",10.6%," 3,830 ",130.0%,SNAP,185.0%,Other Nutrition Program,40.2%,22.7%,37.1%,18.1%," 1,580 ",60%,40%, $2.41 ," $1,588,810 ",
31113,NE,"Logan County, Nebraska",10.1%, 70 ,130.0%,SNAP,185.0%,Other Nutrition Program,23.2%,26.7%,50.1%,14.1%, 20 ,78%,22%, $2.37 ," $28,560 ",
31115,NE,"Loup County, Nebraska",14.3%, 90 ,130.0%,SNAP,185.0%,Other Nutrition Program,45.9%,27.2%,26.9%,30.5%, 40 ,65%,35%, $2.36 ," $36,560 ",
31117,NE,"McPherson County, Nebraska",10.1%, 50 ,130.0%,SNAP,185.0%,Other Nutrition Program,33.1%,26.5%,40.4%,16.2%, 20 ,59%,41%, $2.37 ," $20,400 ",
31119,NE,"Madison County, Nebraska",11.0%," 3,810 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.5%,27.4%,31.0%,19.2%," 1,640 ",69%,31%, $2.35 ," $1,541,160 ",
31121,NE,"Merrick County, Nebraska",11.2%, 870 ,130.0%,SNAP,185.0%,Other Nutrition Program,51.6%,18.7%,29.8%,19.1%, 360 ,75%,25%, $2.60 ," $389,360 ",
31123,NE,"Morrill County, Nebraska",11.4%, 580 ,130.0%,SNAP,185.0%,Other Nutrition Program,49.6%,34.4%,16.0%,23.1%, 280 ,79%,22%, $2.59 ," $258,570 ",
31125,NE,"Nance County, Nebraska",10.5%, 390 ,130.0%,SNAP,185.0%,Other Nutrition Program,40.5%,18.7%,40.8%,15.9%, 140 ,71%,29%, $2.36 ," $158,430 ",
31127,NE,"Nemaha County, Nebraska",13.1%, 950 ,130.0%,SNAP,185.0%,Other Nutrition Program,37.0%,20.1%,42.8%,18.9%, 290 ,54%,46%, $2.49 ," $407,170 ",
31129,NE,"Nuckolls County, Nebraska",13.3%, 610 ,130.0%,SNAP,185.0%,Other Nutrition Program,50.8%,22.2%,27.0%,26.9%, 260 ,75%,25%, $2.19 ," $229,950 ",
31131,NE,"Otoe County, Nebraska",11.6%," 1,830 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.1%,19.7%,41.2%,20.1%, 760 ,61%,39%, $2.35 ," $740,240 ",
31133,NE,"Pawnee County, Nebraska",11.5%, 320 ,130.0%,SNAP,185.0%,Other Nutrition Program,43.9%,13.8%,42.3%,19.9%, 110 ,55%,45%, $2.36 ," $129,990 ",
31135,NE,"Perkins County, Nebraska",9.2%, 280 ,130.0%,SNAP,185.0%,Other Nutrition Program,30.8%,22.1%,47.1%,15.9%, 110 ,45%,55%, $2.38 ," $114,710 ",
31137,NE,"Phelps County, Nebraska",10.5%, 970 ,130.0%,SNAP,185.0%,Other Nutrition Program,38.6%,18.3%,43.1%,16.5%, 350 ,60%,40%, $2.55 ," $425,760 ",
31139,NE,"Pierce County, Nebraska",10.4%, 760 ,130.0%,SNAP,185.0%,Other Nutrition Program,31.2%,31.0%,37.8%,16.9%, 320 ,66%,34%, $2.36 ," $308,730 ",
31141,NE,"Platte County, Nebraska",9.7%," 3,080 ",130.0%,SNAP,185.0%,Other Nutrition Program,37.5%,25.0%,37.5%,17.8%," 1,490 ",64%,36%, $2.41 ," $1,277,680 ",
31143,NE,"Polk County, Nebraska",9.8%, 530 ,130.0%,SNAP,185.0%,Other Nutrition Program,36.7%,29.4%,33.9%,16.9%, 220 ,77%,23%, $2.36 ," $215,300 ",
31145,NE,"Red Willow County, Nebraska",10.7%," 1,180 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.0%,22.3%,36.7%,17.7%, 440 ,59%,41%, $2.35 ," $477,320 ",
31147,NE,"Richardson County, Nebraska",13.6%," 1,150 ",130.0%,SNAP,185.0%,Other Nutrition Program,48.5%,20.5%,31.0%,24.3%, 450 ,70%,30%, $2.49 ," $492,890 ",
31149,NE,"Rock County, Nebraska",10.1%, 170 ,130.0%,SNAP,185.0%,Other Nutrition Program,36.4%,40.2%,23.4%,17.5%, 60 ,84%,16%, $2.36 ," $69,060 ",
31151,NE,"Saline County, Nebraska",10.5%," 1,480 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.8%,27.6%,27.6%,21.4%, 720 ,74%,26%, $2.35 ," $598,670 ",
31153,NE,"Sarpy County, Nebraska",10.1%," 15,430 ",130.0%,SNAP,185.0%,Other Nutrition Program,24.4%,16.2%,59.4%,16.4%," 7,100 ",44%,56%, $2.37 ," $6,294,630 ",
31155,NE,"Saunders County, Nebraska",10.6%," 2,180 ",130.0%,SNAP,185.0%,Other Nutrition Program,26.4%,17.4%,56.3%,17.5%, 930 ,38%,62%, $2.72 ," $1,020,660 ",
31157,NE,"Scotts Bluff County, Nebraska",12.2%," 4,460 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.4%,27.6%,25.0%,23.9%," 2,140 ",71%,29%, $2.41 ," $1,850,150 ",
31159,NE,"Seward County, Nebraska",10.0%," 1,670 ",130.0%,SNAP,185.0%,Other Nutrition Program,29.9%,13.9%,56.2%,14.2%, 550 ,36%,64%, $2.36 ," $678,400 ",
31161,NE,"Sheridan County, Nebraska",12.0%, 660 ,130.0%,SNAP,185.0%,Other Nutrition Program,56.3%,29.9%,13.8%,20.5%, 260 ,95%,5%, $2.43 ," $276,060 ",
31163,NE,"Sherman County, Nebraska",11.7%, 370 ,130.0%,SNAP,185.0%,Other Nutrition Program,50.1%,18.0%,31.9%,20.9%, 140 ,62%,38%, $2.36 ," $150,300 ",
31165,NE,"Sioux County, Nebraska",10.9%, 150 ,130.0%,SNAP,185.0%,Other Nutrition Program,35.0%,20.8%,44.3%,17.7%, 50 ,45%,56%, $2.39 ," $61,710 ",
31167,NE,"Stanton County, Nebraska",11.0%, 680 ,130.0%,SNAP,185.0%,Other Nutrition Program,37.6%,28.7%,33.7%,19.3%, 320 ,69%,32%, $2.36 ," $276,230 ",
31169,NE,"Thayer County, Nebraska",11.2%, 590 ,130.0%,SNAP,185.0%,Other Nutrition Program,46.0%,25.0%,29.0%,18.9%, 210 ,73%,27%, $2.54 ," $257,950 ",
31171,NE,"Thomas County, Nebraska",11.6%, 90 ,130.0%,SNAP,185.0%,Other Nutrition Program,39.5%,11.0%,49.5%,21.6%, 40 ,18%,82%, $2.37 ," $36,720 ",
31173,NE,"Thurston County, Nebraska",19.1%," 1,320 ",130.0%,SNAP,185.0%,Other Nutrition Program,60.3%,15.5%,24.2%,32.1%, 780 ,76%,24%, $2.58 ," $586,200 ",
31175,NE,"Valley County, Nebraska",12.2%, 520 ,130.0%,SNAP,185.0%,Other Nutrition Program,52.0%,23.6%,24.3%,20.7%, 190 ,86%,14%, $2.22 ," $198,710 ",
31177,NE,"Washington County, Nebraska",9.8%," 1,970 ",130.0%,SNAP,185.0%,Other Nutrition Program,21.3%,21.5%,57.2%,14.9%, 780 ,39%,61%, $2.29 ," $776,530 ",
31179,NE,"Wayne County, Nebraska",12.1%," 1,160 ",130.0%,SNAP,185.0%,Other Nutrition Program,42.9%,10.4%,46.7%,21.4%, 420 ,59%,41%, $2.25 ," $449,260 ",
31181,NE,"Webster County, Nebraska",12.5%, 480 ,130.0%,SNAP,185.0%,Other Nutrition Program,43.8%,22.9%,33.3%,19.6%, 170 ,71%,29%, $2.36 ," $194,990 ",
31183,NE,"Wheeler County, Nebraska",11.8%, 90 ,130.0%,SNAP,185.0%,Other Nutrition Program,45.6%,42.5%,11.9%,19.2%, 30 ,100%,0%, $2.36 ," $36,560 ",
31185,NE,"York County, Nebraska",10.6%," 1,470 ",130.0%,SNAP,185.0%,Other Nutrition Program,28.6%,20.5%,50.9%,15.7%, 420 ,57%,43%, $2.34 ," $592,090 ",
32001,NV,"Churchill County, Nevada",14.3%," 3,570 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",56.7%,N/A,43.3%,21.5%," 1,330 ",49%,51%, $2.49 ," $1,530,110 ",
32003,NV,"Clark County, Nevada",17.5%," 331,920 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",59.7%,N/A,40.3%,26.9%," 127,250 ",57%,43%, $2.42 ," $138,262,510 ",
32005,NV,"Douglas County, Nevada",16.8%," 7,880 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",44.9%,N/A,55.1%,25.9%," 2,410 ",42%,58%, $2.38 ," $3,228,190 ",
32007,NV,"Elko County, Nevada",10.8%," 5,150 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",47.6%,N/A,52.4%,19.6%," 2,710 ",33%,67%, $2.56 ," $2,269,360 ",
32009,NV,"Esmeralda County, Nevada",12.6%, 110 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",66.0%,N/A,34.0%,20.1%, 20 ,65%,35%, $2.55 ," $48,280 ",
32011,NV,"Eureka County, Nevada",14.5%, 250 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",49.7%,N/A,50.3%,24.4%, 110 ,51%,49%, $2.55 ," $109,730 ",
32013,NV,"Humboldt County, Nevada",13.0%," 2,080 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",62.9%,N/A,37.1%,23.8%," 1,040 ",54%,46%, $2.51 ," $898,650 ",
32015,NV,"Lander County, Nevada",11.5%, 640 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",63.5%,N/A,36.5%,22.0%, 330 ,57%,43%, $2.90 ," $319,470 ",
32017,NV,"Lincoln County, Nevada",16.7%, 840 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",60.8%,N/A,39.2%,24.5%, 380 ,46%,54%, $2.78 ," $401,960 ",
32019,NV,"Lyon County, Nevada",20.6%," 10,590 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",60.0%,N/A,40.0%,30.6%," 3,790 ",54%,47%, $2.37 ," $4,320,160 ",
32021,NV,"Mineral County, Nevada",20.3%, 980 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",56.2%,N/A,43.8%,25.9%, 180 ,42%,58%, $2.86 ," $482,440 ",
32023,NV,"Nye County, Nevada",21.2%," 9,320 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",69.8%,N/A,30.2%,33.4%," 3,130 ",62%,38%, $2.39 ," $3,834,150 ",
32027,NV,"Pershing County, Nevada",15.7%," 1,050 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",46.7%,N/A,53.3%,27.8%, 370 ,58%,43%, $2.84 ," $513,290 ",
32029,NV,"Storey County, Nevada",15.4%, 620 ,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",48.6%,N/A,51.4%,22.3%, 160 ,56%,44%, $2.55 ," $272,140 ",
32031,NV,"Washoe County, Nevada",16.4%," 67,880 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",60.3%,N/A,39.7%,27.0%," 26,360 ",54%,46%, $2.50 ," $29,210,400 ",
32033,NV,"White Pine County, Nevada",14.4%," 1,410 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",64.6%,N/A,35.4%,25.5%, 620 ,58%,42%, $2.84 ," $689,280 ",
32510,NV,"Carson City, Nevada",16.8%," 9,300 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",60.0%,N/A,40.0%,28.8%," 3,520 ",61%,39%, $2.70 ," $4,322,180 ",
33001,NH,"Belknap County, New Hampshire",10.3%," 6,200 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",54.2%,N/A,45.8%,13.2%," 1,680 ",62%,38%, $2.78 ," $2,966,830 ",
33003,NH,"Carroll County, New Hampshire",10.0%," 4,800 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",58.7%,N/A,41.3%,14.8%," 1,360 ",70%,30%, $3.11 ," $2,569,550 ",
33005,NH,"Cheshire County, New Hampshire",10.0%," 7,770 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",55.6%,N/A,44.4%,13.2%," 2,030 ",67%,33%, $2.72 ," $3,637,860 ",
33007,NH,"Coos County, New Hampshire",12.2%," 4,070 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",65.8%,N/A,34.2%,17.3%," 1,110 ",76%,24%, $2.52 ," $1,765,430 ",
33009,NH,"Grafton County, New Hampshire",9.4%," 8,330 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",54.9%,N/A,45.1%,12.3%," 2,000 ",63%,37%, $2.72 ," $3,900,040 ",
33011,NH,"Hillsborough County, New Hampshire",9.4%," 37,690 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",44.8%,N/A,55.2%,13.0%," 12,290 ",48%,52%, $2.64 ," $17,127,170 ",
33013,NH,"Merrimack County, New Hampshire",9.3%," 13,630 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",48.0%,N/A,52.0%,12.8%," 4,140 ",56%,44%, $2.59 ," $6,076,470 ",
33015,NH,"Rockingham County, New Hampshire",8.7%," 25,750 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",36.3%,N/A,63.7%,11.2%," 7,790 ",35%,66%, $2.68 ," $11,878,670 ",
33017,NH,"Strafford County, New Hampshire",10.3%," 12,610 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",50.9%,N/A,49.1%,13.6%," 3,450 ",56%,44%, $2.63 ," $5,708,560 ",
33019,NH,"Sullivan County, New Hampshire",10.0%," 4,370 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",59.6%,N/A,40.4%,13.9%," 1,290 ",69%,31%, $2.49 ," $1,872,990 ",
34001,NJ,"Atlantic County, New Jersey",15.6%," 42,510 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",58.3%,N/A,41.7%,20.3%," 12,990 ",72%,28%, $2.56 ," $18,732,110 ",
34003,NJ,"Bergen County, New Jersey",9.6%," 86,160 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",42.7%,N/A,57.3%,14.5%," 29,520 ",37%,63%, $2.95 ," $43,750,530 ",
